Designator,Mid X,Mid Y,Layer,Rotation
U2,54.178400mm,68.358200mm,Top,270
C6,57.000000mm,59.300000mm,Top,180
C5,40.300000mm,59.900000mm,Top,0
R7,56.051100mm,61.605100mm,Top,270
C1,61.250000mm,66.000000mm,Top,270
R2,42.125000mm,70.275000mm,Top,0
K1,66.000000mm,81.000000mm,Top,180
U3,48.254000mm,61.573000mm,Top,180
T4,90.000000mm,68.525400mm,Top,270
T3,90.000000mm,85.025400mm,Top,270
T2,77.025400mm,94.000000mm,Top,180
T1,55.025400mm,94.000000mm,Top,180
J1,40.500000mm,85.040000mm,Top,270
U1,48.000000mm,69.000000mm,Top,0
R11,68.600000mm,63.000000mm,Top,0
R10,74.600000mm,63.000000mm,Top,0
R9,81.400000mm,63.000000mm,Top,0
R8,86.000000mm,65.600000mm,Top,90
R6,64.000000mm,61.000000mm,Top,0
R5,86.000000mm,71.600000mm,Top,90
R4,86.000000mm,77.400000mm,Top,90
R3,59.250000mm,66.000000mm,Top,90
Q1,60.050000mm,70.000000mm,Top,90
J2,35.000000mm,66.000000mm,Top,270
D1,66.700000mm,71.000000mm,Top,180
C4,58.018800mm,61.617800mm,Top,90
C3,55.700000mm,71.500000mm,Top,180
C2,57.032100mm,68.406700mm,Top,90
