"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Comment"
"D3","TopLayer","105,0961","30,5461","0","LED Green"
"D4","TopLayer","101,4961","30,4961","0","LED Red"
"U9","TopLayer","132,8785","38,3270","90","TPD4S012DRYR"
"R83","TopLayer","112,4211","66,3711","270","2.2k"
"U7","TopLayer","102,7961","34,2211","270","SN74LVC2G07DBVR"
"R82","TopLayer","102,0388","27,7620","90","1k"
"R81","TopLayer","105,0461","28,5461","0","1k"
"C132","TopLayer","53,9456","35,4702","90","100nF"
"U10","TopLayer","58,5461","36,5461","180","OPA350UA/2K5"
"R80","TopLayer","65,1461","41,5961","270","1k"
"C131","TopLayer","64,7711","35,8211","90","22uF"
"C130","TopLayer","63,0461","36,5961","90","100nF"
"P4","TopLayer","13,8211","69,7211","270","61032021121"
"C85","TopLayer","116,3961","55,3961","0","4.7nF"
"C83","TopLayer","139,2961","46,7711","0","4.7nF"
"R37","TopLayer","71,7211","85,3961","270","5.6Ohm 0402"
"R50","TopLayer","54,5461","69,2961","0","5.6Ohm 0402"
"R53","TopLayer","54,5461","79,5461","0","5.6Ohm 0402"
"R54","TopLayer","54,5461","78,5461","0","5.6Ohm 0402"
"R55","TopLayer","54,5461","77,5461","0","5.6Ohm 0402"
"R56","TopLayer","54,5461","76,5461","0","5.6Ohm 0402"
"R57","TopLayer","54,5461","75,5461","0","5.6Ohm 0402"
"R58","TopLayer","54,5461","74,5461","0","5.6Ohm 0402"
"R61","TopLayer","54,5461","73,5461","0","5.6Ohm 0402"
"R62","TopLayer","54,5461","72,5461","0","5.6Ohm 0402"
"J20","TopLayer","24,7961","121,1461","90","10pin_header"
"J19","TopLayer","75,2961","101,1461","90","10pin_header"
"J18","TopLayer","125,7961","121,1461","90","10pin_header"
"J17","TopLayer","125,7961","141,3014","90","10pin_header"
"J16","TopLayer","75,2961","121,1461","90","10pin_header"
"J15","TopLayer","24,7961","141,1461","90","10pin_header"
"J14","TopLayer","24,7961","101,1461","90","10pin_header"
"J13","TopLayer","75,2961","141,1461","90","10pin_header"
"J12","TopLayer","57,2961","14,8004","0","1433900000"
"J11","TopLayer","37,2961","14,8004","0","1433900000"
"J10","TopLayer","37,2961","39,8004","0","1433900000"
"J9","TopLayer","17,2961","39,8004","0","1433900000"
"J8","TopLayer","17,2961","14,8004","0","1433900000"
"J7","TopLayer","97,2961","14,8004","0","1433900000"
"J6","TopLayer","117,2961","14,8004","0","1433900000"
"J3","TopLayer","77,2961","14,8004","0","1433900000"
"J5","TopLayer","125,7961","101,1461","90","10pin_header"
"J4","TopLayer","137,2961","14,8004","0","1433900000"
"C129","TopLayer","56,9961","59,5961","180","1uF"
"C128","TopLayer","66,7961","52,2961","270","1uF"
"C127","TopLayer","56,8961","61,7961","180","1uF"
"C126","TopLayer","64,6961","52,2961","270","1uF"
"C125","TopLayer","86,5961","56,6961","180","100nF"
"C122","TopLayer","75,4961","82,0961","270","100nF"
"C121","TopLayer","86,5961","65,0961","180","100nF"
"C120","TopLayer","74,3961","52,3961","90","100nF"
"C119","TopLayer","72,5961","52,3961","90","100nF"
"C124","TopLayer","68,6961","52,1961","90","100nF"
"C123","TopLayer","56,7961","70,3961","0","100nF"
"R79","TopLayer","58,7961","49,2961","270","150Ohm 0402"
"R78","TopLayer","52,2961","53,5461","180","150Ohm 0402"
"R77","TopLayer","70,4961","47,8711","270","150Ohm 0402"
"R76","TopLayer","69,2961","47,5961","270","150Ohm 0402"
"R75","TopLayer","68,0461","47,6061","270","150Ohm 0402"
"R74","TopLayer","66,7961","47,5961","270","150Ohm 0402"
"R24","TopLayer","52,2961","54,7961","0","150Ohm 0402"
"R17","TopLayer","63,7961","49,2961","90","150Ohm 0402"
"R15","TopLayer","52,2961","61,0461","0","150Ohm 0402"
"R13","TopLayer","52,2961","59,7961","0","150Ohm 0402"
"C118","TopLayer","54,5461","53,5461","180","100nF"
"C117","TopLayer","58,7961","51,2961","270","100nF"
"C116","TopLayer","66,7961","49,5961","270","100nF"
"C115","TopLayer","68,0827","49,5761","270","100nF"
"C114","TopLayer","69,2961","49,5961","270","100nF"
"C113","TopLayer","70,4961","49,7961","270","100nF"
"C112","TopLayer","63,6961","51,2961","270","100nF"
"C111","TopLayer","54,5461","54,7961","0","100nF"
"C110","TopLayer","54,5461","59,7961","0","100nF"
"C109","TopLayer","54,5461","61,0461","0","100nF"
"D2","TopLayer","121,4461","90,8461","90","150060GS55040"
"C99","TopLayer","62,1111","41,7211","90","22uF"
"C55","TopLayer","106,8461","60,9711","90","1uF"
"U8","TopLayer","56,8132","42,0711","90","REF3130AIDBZR"
"R73","TopLayer","59,8211","41,7461","90","0Ohm"
"R72","TopLayer","65,5461","47,6061","270","150Ohm 0402"
"R71","TopLayer","62,5461","49,2961","90","150Ohm 0402"
"R70","TopLayer","61,2961","49,2961","90","150Ohm 0402"
"R69","TopLayer","60,0461","49,2961","90","150Ohm 0402"
"R68","TopLayer","52,2961","58,5461","0","150Ohm 0402"
"R67","TopLayer","52,2961","64,8061","180","150Ohm 0402"
"R66","TopLayer","52,2961","57,2961","0","150Ohm 0402"
"R65","TopLayer","52,2961","63,5561","180","150Ohm 0402"
